127.0.0.1 - - [28/May/2015:21:24:18 -0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/May/2015:21:24:20 -0700] "GET /CS320/databases/IntroToDatabases HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [28/May/2015:21:24:46 -0700] "GET /CS320/jsp/sql/IntroToMySQL.jsp HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [28/May/2015:21:25:33 -0700] "GET /CS320/databases/IntroToDatabases HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [28/May/2015:21:27:52 -0700] "GET /CS320/databases/IntroToDatabases HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [28/May/2015:21:30:52 -0700] "GET /CS320/databases/IntroToDatabases HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [28/May/2015:21:30:55 -0700] "GET /CS320/databases/IntroToDatabases?search=hi HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [28/May/2015:21:40:37 -0700] "GET /CS320/databases/IntroToDatabases?search=hi HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/May/2015:21:42:24 -0700] "GET /CS320/databases/IntroToDatabases?search=hi HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [28/May/2015:21:42:29 -0700] "GET /CS320/databases/IntroToDatabases?search=john HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [28/May/2015:21:42:34 -0700] "GET /CS320/databases/IntroToDatabases?search=John HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [28/May/2015:21:42:38 -0700] "GET /CS320/databases/IntroToDatabases?search=Doe HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [28/May/2015:21:42:42 -0700] "GET /CS320/databases/IntroToDatabases?search=Boxer HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [28/May/2015:21:42:58 -0700] "GET /CS320/databases/IntroToDatabases?search=Joe HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [28/May/2015:21:43:30 -0700] "GET /CS320/databases/IntroToDatabases?search=Joe HTTP/1.1" 200 983
0:0:0:0:0:0:0:1 - - [28/May/2015:21:43:33 -0700] "GET /CS320/databases/IntroToDatabases HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [28/May/2015:21:43:42 -0700] "GET /CS320/databases/IntroToDatabases?search=John HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [28/May/2015:21:43:55 -0700] "GET /CS320/databases/IntroToDatabases?search=Boxer HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [28/May/2015:21:44:44 -0700] "GET /CS320/databases/IntroToDatabases HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [28/May/2015:21:45:35 -0700] "GET /CS320/databases/IntroToDatabases?search=Doe HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [28/May/2015:21:45:50 -0700] "GET /CS320/databases/IntroToDatabases HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [28/May/2015:21:46:30 -0700] "GET /CS320/databases/IntroToDatabases HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [28/May/2015:21:46:34 -0700] "GET /CS320/databases/IntroToDatabases?search=John HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [28/May/2015:21:46:45 -0700] "GET /CS320/databases/IntroToDatabases?search=Boxer HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [28/May/2015:21:48:21 -0700] "GET /CS320/databases/IntroToDatabases?search=Boxer HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [28/May/2015:21:48:56 -0700] "GET /CS320/databases/IntroToDatabases HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [28/May/2015:21:48:59 -0700] "GET /CS320/databases/IntroToDatabases?search=John HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [28/May/2015:21:49:09 -0700] "GET /CS320/databases/IntroToDatabases HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [28/May/2015:21:49:36 -0700] "GET /CS320/databases/IntroToDatabases HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [28/May/2015:21:49:37 -0700] "GET /CS320/databases/IntroToDatabases?search= HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [28/May/2015:21:49:39 -0700] "GET /CS320/databases/IntroToDatabases?search=hi HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [28/May/2015:21:49:41 -0700] "GET /CS320/databases/IntroToDatabases?search=hello HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [28/May/2015:21:49:45 -0700] "GET /CS320/databases/IntroToDatabases?search=John HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [28/May/2015:21:49:49 -0700] "GET /CS320/databases/IntroToDatabases?search= HTTP/1.1" 200 1577
0:0:0:0:0:0:0:1 - - [28/May/2015:22:00:05 -0700] "GET /CS320/databases/IntroToDatabases?search= HTTP/1.1" 200 1613
0:0:0:0:0:0:0:1 - - [28/May/2015:22:00:07 -0700] "GET /CS320/databases/IntroToDatabases?search=hi HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [28/May/2015:22:01:20 -0700] "GET /CS320/databases/IntroToDatabases?search=hi HTTP/1.1" 200 734
0:0:0:0:0:0:0:1 - - [28/May/2015:22:01:23 -0700] "GET /CS320/databases/IntroToDatabases?search=hi HTTP/1.1" 200 734
